Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,Delay
388,0,0,2,0,0,0,0,0,9,R3,cs,11
389,0,0,2,0,0,0,0,0,9,R3,cs,11
390,0,0,2,0,0,0,0,0,9,R3,cs,11
391,0,0,2,0,0,0,0,0,9,R3,cs,11
392,0,0,2,0,0,0,0,0,9,R3,cs,11
393,0,0,2,0,0,0,0,0,9,R3,cs,11
394,0,0,2,0,0,0,0,0,9,R3,cs,11
395,0,0,2,0,0,0,0,0,9,R3,cs,11
396,0,0,2,0,0,0,0,0,9,R3,cs,11
397,0,0,2,0,0,0,0,0,9,R3,cs,11
398,0,0,2,0,0,0,0,0,9,R3,cs,11
399,0,0,2,0,0,0,0,0,9,R3,cs,11
400,0,0,2,0,0,0,0,0,9,R3,cs,11
